Group;Identifier;Icon;Name;;;;;;;;;;;;;;;;;;
12 Weather;thermometer;􀇬;Temperature;Jumper;cold;warm;hot;freezing;;;;;;;;;;;;;
12 Weather;wind;􀇤;Wind;Storm;Dragon;;;;;;;;;;;;;;;;
12 Weather;umbrella.fill;􀙖;Umbrella;rain;snow;;;;;;;;;;;;;;;;
12 Weather;mdi.mountain;;Mountain;hill;Climbing;outdoor;;;;;;;;;;;;;;;
12 Weather;leaf.fill;􀥳;Leaf;;;;;;;;;;;;;;;;;;
13 Money;creditcard.fill;􀍰;Creditcard;credit;subscription;;;;;;;;;;;;;;;;
13 Money;dollarsign.circle.fill;􀖘;Money;Finance;dollar;euro;pounds;pay;salary;bill;;;;;;;;;;;
13 Money;bitcoinsign.circle.fill;􀗖;Bitcoin;Bitcoin;crypto;;;;;;;;;;;;;;;;
14 Tools;scissors;􀉈;Scissors;cut;;;;;;;;;;;;;;;;;
14 Tools;paintbrush.fill;􀎒;Paintbrush;paint;painting;;;;;;;;;;;;;;;;
14 Tools;paintbrush.pointed.fill;􀣷;Paintbrush;;;;;;;;;;;;;;;;;;
14 Tools;wrench.fill;􀎖;Wrench;repair;fix;;;;;;;;;;;;;;;;
14 Tools;hammer.fill;􀙅;Hammer;repair;fix;;;;;;;;;;;;;;;;
14 Tools;gearshape.2.fill;􀥏;Gears;;;;;;;;;;;;;;;;;;
15 Internet;link;􀉣;Link;website;web;;;;;;;;;;;;;;;;
15 Internet;bookmark.fill;􀉟;Bookmark;save;;;;;;;;;;;;;;;;;
15 Internet;paperclip;􀉢;Paperclip;Taxes;office;;;;;;;;;;;;;;;;
15 Internet;globe;􀆪;Globe;Internet;world;travel;voyage;;;;;;;;;;;;;;
15 Internet;number;􀆃;Hashtag;tweet;twitter;;;;;;;;;;;;;;;;
15 Internet;icloud.and.arrow.up.fill;􀌘;Upload;cloud;send;;;;;;;;;;;;;;;;
15 Internet;power;􀆨;Power;power;detox;digital;;;;;;;;;;;;;;;
15 Internet;keyboard;􀇳;Keyboard;type;typing;;;;;;;;;;;;;;;;
