Symbol,Name,Code,Status,Category,File,Features,Alias,Source,Source Link,Deprecated
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/mdi.mountain2x.png,Mountain,mdi.mountain,Released,Nature,SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/mdi.mountain.svg,,,Material Design Icons,https://materialdesignicons.com/icon/image-filter-hdr,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/calendar2x.png,Calendar,calendar,Released,Productivity,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/camera.fill2x.png,Camera,camera.fill,Released,Computer,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/car.fill2x.png,Car,car.fill,Released,Transport,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/chart.bar.fill2x.png,Bar Chart,chart.bar.fill,Released,Work,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/chart.pie.fill2x.png,Pie Chart,chart.pie.fill,Released,Work,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/chevron.left.forwardslash.chevron.right2x.png,Code,chevron.left.slash.chevron.right,Released,"Computer, Work",,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/clock.fill2x.png,Clock,clock.fill,Released,Productivity,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/cloud.bolt.fill2x.png,Storm,cloud.bolt.fill,Released,Nature,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/cloud.drizzle.fill2x.png,Rain,cloud.drizzle.fill,Released,Nature,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/cloud.fill2x.png,Cloud,cloud.fill,Released,Nature,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/cloud.fog.fill2x.png,Fog,cloud.fog.fill,Released,Nature,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/cloud.snow.fill2x.png,Snow,cloud.snow.fill,Released,Nature,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/comb.fill2x.png,Comb,comb.fill,Released,Bathroom,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/creditcard.fill2x.png,Creditcard,creditcard.fill,Released,Shopping,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/cross.case.fill2x.png,Pharmacy,cross.case.fill,Released,Health,,"Color, Hierarchical, Weights",,System,,mdi.pharmacy
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/desktopcomputer2x.png,Desktop,desktopcomputer,Released,"Computer, Work",,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/doc.fill2x.png,File,doc.fill,Released,Computer,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/doc.richtext2x.png,Document,doc.richtext,Released,Computer,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/dollarsign.circle.fill2x.png,Money,dollarsign.circle.fill,Released,Symbols,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/ear2x.png,Ear,ear,Released,Humans,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/envelope.fill2x.png,Mail,envelope.fill,Released,"Computer, Work",,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/exclamationmark.triangle.fill2x.png,Warning,exclamationmark.triangle.fill,Released,Symbols,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/eyedropper2x.png,Eyedropper,eyedropper,Released,Bathroom,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/pills.fill2x.png,Pills,pills.fill,Released,"Bathroom, Health",,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/eyeglasses2x.png,Glasses,eyeglasses,Released,Bathroom,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/mdi.relax2x.png,Lotus,mdi.relax,Released,Health,SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/mdi.relax.svg,,,Material Design Icons,https://materialdesignicons.com/icon/spa,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/mdi.wheelchair2x.png,Wheelchair,mdi.wheelchair,Released,Transport,SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/mdi.wheelchair.svg,,,Leo,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/text.badge.checkmark2x.png,Task,text.badge.checkmark,Released,Productivity,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/thermometer2x.png,Temperature,thermometer,Released,Nature,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/film.fill2x.png,Film,film.fill,Released,Leisure,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/gift.fill2x.png,Gift,gift.fill,Released,Leisure,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/zzz2x.png,Sleep,zzz,Released,Bedroom,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/folder.fill2x.png,Folder,folder.fill,Released,"Computer, Productivity",,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/flame.fill2x.png,Flame,flame.fill,Released,Sport,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/number2x.png,Hashtag,number,Released,Computer,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/stethoscope2x.png,Doctor,stethoscope,Released,Health,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/headphones2x.png,Headphones,headphones,Released,Computer,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/face.smiling.fill2x.png,Smile,smiley.fill,Released,Humans,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/hand.raised.fill2x.png,Hand,hand.raised.fill,Released,Humans,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/map.fill2x.png,Map,map.fill,Released,Nature,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/shield.fill2x.png,Shield,shield.fill,Released,Symbols,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/tag.fill2x.png,Tag,tag.fill,Released,"Productivity, Work",,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/flag.fill2x.png,Flag,flag.fill,Released,Symbols,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/gamecontroller.fill2x.png,Gaming,gamecontroller.fill,Released,Leisure,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/hand.thumbsup.fill2x.png,Thumbs Up,hand.thumbsup.fill,Released,Humans,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/music.note2x.png,Music,music.note,Released,Music,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/paperplane.fill2x.png,Message,paperplane.fill,Released,Computer,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/scanner.fill2x.png,Scanner,scanner.fill,Released,Computer,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/umbrella.fill2x.png,Umbrella,umbrella.fill,Released,Nature,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/figure.wave2x.png,Waving,figure.wave,Released,Humans,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/hare.fill2x.png,Fast,hare.fill,Released,Animals,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/link2x.png,Link,link,Released,Computer,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/sunset.fill2x.png,Sunset,sunset.fill,Released,Nature,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/x.squareroot2x.png,Math,x.squareroot,Released,School,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/keyboard2x.png,Keyboard,keyboard,Released,Computer,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/person.fill2x.png,Person,person.fill,Released,Humans,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/safari.fill2x.png,Web,safari.fill,Released,Computer,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/stopwatch.fill2x.png,Stopwatch,stopwatch.fill,Released,Productivity,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/video.fill2x.png,FaceTime,video.fill,Released,Work,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/moon.fill2x.png,Moon,moon.fill,Released,Nature,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/paperclip2x.png,Paperclip,paperclip,Released,"School, Work",,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/questionmark2x.png,Question,questionmark,Released,Symbols,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/sun.max.fill2x.png,Sun,sun.max.fill,Released,Nature,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/timer2x.png,Timer,timer,Released,Productivity,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/guitars2x.png,Guitar,guitars,Released,"Leisure, School",,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/mic.fill2x.png,Mic,mic.fill,Released,"Computer, Music",,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/shippingbox.fill2x.png,Shipping Box,shippingbox.fill,Released,Shopping,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/magnifyingglass2x.png,Search,magnifyingglass,Released,Computer,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/paintbrush.pointed.fill2x.png,Paintbrush,paintbrush.pointed.fill,Released,School,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/location.fill2x.png,Location,location.fill,Released,Computer,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/music.mic2x.png,Singing,music.mic,Released,Music,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/leaf.fill2x.png,Leaf,leaf.fill,Released,Nature,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/pencil.and.outline2x.png,Write,pencil.and.outline,Released,School,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/hand.thumbsdown.fill2x.png,Thumbs Down,hand.thumbsdown.fill,Released,Humans,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/paintbrush.fill2x.png,Paintbrush,paintbrush.fill,Released,School,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/pin.fill2x.png,Pin,pin.fill,Released,Work,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/tuningfork2x.png,Tuning,tuningfork,Released,Music,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/moon.zzz.fill2x.png,Sleep Moon,moon.zzz.fill,Released,Nature,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/pianokeys2x.png,Piano,pianokeys,Released,Music,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/person.3.fill2x.png,Group,person.3.fill,Released,"Humans, Work",,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/power2x.png,Power,power,Released,Computer,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/printer.fill2x.png,Printer,printer.fill,Released,Computer,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/globe2x.png,Globe,globe,Released,Symbols,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/speedometer2x.png,Speed,speedometer,Released,Transport,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/star.fill2x.png,Star,star.fill,Released,Nature,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/xmark.octagon.fill2x.png,Error,xmark.octagon.fill,Released,Symbols,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/hifispeaker.fill2x.png,Speaker,hifispeaker.fill,Released,Computer,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/play.rectangle.fill2x.png,Movie,play.rectangle.fill,Released,"Computer, Leisure",,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/icloud.and.arrow.up.fill2x.png,Upload,icloud.and.arrow.up.fill,Released,Computer,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/tortoise.fill2x.png,Tortoise,tortoise.fill,Released,Animals,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/sunrise.fill2x.png,Sunrise,sunrise.fill,Released,Nature,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/tv.fill2x.png,TV,tv.fill,Released,Leisure,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/heart.fill2x.png,Heart,heart.fill,Released,"Humans, Symbols",,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/person.2.fill2x.png,Meeting,person.2.fill,Released,"Humans, Work",,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/phone.fill2x.png,Phone,phone.fill,Released,"Computer, Work",,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/signature2x.png,Signature,signature,Released,Work,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/tram.fill2x.png,Train,tram.fill,Released,Transport,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/wifi2x.png,Wifi,wifi,Released,Computer,,"Color, Hierarchical, Weights",,System,,
SF%20Symbols%20Library%201c95183b9f974adabf30710c42dbeccb/wind2x.png,Wind,wind,Released,Nature,,"Color, Hierarchical, Weights",,System,,
